,avgSeatView,avgShowView,avgViewBox,boxInfo,boxRate,movieId,movieName,myRefundNumInfo,myRefundRateInfo,onlineBoxRate,refundViewInfo,refundViewRate,releaseInfo,releaseInfoColor,seatRate,showInfo,showRate,splitAvgViewBox,splitBoxInfo,splitBoxRate,splitSumBoxInfo,sumBoxInfo,viewInfo,viewInfoV2
0,12.5%,17,38.6,10716.80,90.8%,248170,复仇者联盟3：无限战争,--,--,--,--,--,上映4天,#666666 1.00,77.7%,171612,69.7%,36.3,10073.18,90.8%,12.92亿,13.75亿,277.4,277.4万
1,8.3%,6,33.7,470.13,3.9%,343720,后来的我们,--,--,--,--,--,上映17天,#666666 1.00,7.0%,23405,9.5%,31.3,436.17,3.9%,12.34亿,13.26亿,13.9,13.9万
2,6.9%,4,32.3,239.74,2.0%,1206839,我是你妈,--,--,--,--,--,上映4天,#666666 1.00,5.9%,19808,8.0%,30.1,223.81,2.0%,2591.4万,2775.5万,7.4,7.4万
3,7.0%,5,35.1,111.49,0.9%,346637,幕后玩家,--,--,--,--,--,上映17天,#666666 1.00,2.1%,7235,2.9%,32.5,103.33,0.9%,3.27亿,3.51亿,3.1,3.1万
4,5.9%,3,30.0,53.54,0.4%,603864,战犬瑞克斯,--,--,--,--,--,上映4天,#666666 1.00,2.5%,8545,3.4%,28.0,49.91,0.4%,409.1万,437.9万,1.7,1.7万
5,7.5%,5,30.9,50.02,0.4%,342791,巴霍巴利王2：终结,--,--,--,--,--,上映11天,#666666 1.00,1.0%,3476,1.4%,28.4,46.02,0.4%,6574.1万,7152.7万,1.6,1.6万
6,7.7%,5,33.2,40.79,0.3%,341624,狂暴巨兽,--,--,--,--,--,上映32天,#666666 1.00,0.7%,2470,1.0%,30.4,37.46,0.3%,9.16亿,9.79亿,1.2,1.2万
7,18.4%,13,31.7,38.40,0.3%,528054,青年马克思,--,--,--,--,--,上映10天,#666666 1.00,0.3%,983,0.3%,30.4,36.87,0.3%,260.1万,272.4万,1.2,1.2万
8,8.5%,7,37.0,19.99,0.1%,341178,头号玩家,--,--,--,--,--,上映46天,#666666 1.00,0.2%,815,0.3%,34.3,18.53,0.1%,12.97亿,13.93亿,0.5,5391
9,8.6%,2,27.4,12.89,0.1%,1218267,亲爱的，我要和别人结婚了,--,--,--,--,--,上映3天,#666666 1.00,0.6%,2354,0.9%,25.1,11.84,0.1%,104.2万,113.3万,0.4,4701
10,62.5%,56,34.5,7.93,<0.1%,1217789,出山记,--,--,--,--,--,上映11天,#666666 1.00,<0.1%,41,<0.1%,34.5,7.93,<0.1%,211.0万,211.4万,0.2,2294
11,4.2%,1,27.6,4.21,<0.1%,1217651,小公主艾薇拉与神秘王国,--,--,--,--,--,上映3天,#666666 1.00,0.4%,1575,0.6%,25.6,3.90,<0.1%,405.0万,436.6万,0.1,1525
12,3.8%,2,31.1,2.94,<0.1%,344419,七号公馆,--,--,--,--,--,上映4天,#666666 1.00,0.2%,818,0.3%,29.2,2.76,<0.1%,30.0万,32.0万,0.0,946
13,3.4%,3,28.6,2.73,<0.1%,344950,21克拉,--,--,--,--,--,上映25天,#666666 1.00,<0.1%,355,0.1%,26.5,2.52,<0.1%,1.01亿,1.09亿,0.0,954
14,10.2%,13,30.5,2.59,<0.1%,1217637,厉害了，我的国,--,--,--,--,--,上映74天,#666666 1.00,<0.1%,69,<0.1%,30.4,2.58,<0.1%,4.69亿,4.78亿,0.0,848
15,12.4%,11,28.6,2.37,<0.1%,1220084,破门,--,--,--,--,--,上映4天,#666666 1.00,<0.1%,77,<0.1%,28.1,2.32,<0.1%,11.1万,11.4万,0.0,826
16,4.5%,2,28.4,2.35,<0.1%,1199029,玛丽与魔女之花,--,--,--,--,--,上映17天,#666666 1.00,0.1%,508,0.2%,26.5,2.19,<0.1%,1820.9万,1961.8万,0.0,828
17,4.9%,3,38.9,2.22,<0.1%,1199188,犬之岛,--,--,--,--,--,上映25天,#666666 1.00,<0.1%,197,<0.1%,36.3,2.07,<0.1%,4032.9万,4334.7万,0.0,572
18,8.7%,2,29.3,1.86,<0.1%,341941,冰雪女王3：火与冰,--,--,--,--,--,上映40天,#666666 1.00,<0.1%,325,0.1%,27.5,1.74,<0.1%,6587.3万,7026.9万,0.0,635
19,6.7%,3,34.3,1.77,<0.1%,345013,战神纪,--,--,--,--,--,上映17天,#666666 1.00,<0.1%,174,<0.1%,33.6,1.73,<0.1%,3651.7万,3787.2万,0.0,515
20,21.3%,8,21.7,1.37,<0.1%,1220748,天下父母,--,--,--,--,--,上映2天,#666666 1.00,<0.1%,82,<0.1%,20.1,1.26,<0.1%,17.9万,18.1万,0.0,631
21,2.8%,2,25.6,1.35,<0.1%,1210869,午夜十二点,--,--,--,--,--,上映17天,#666666 1.00,<0.1%,289,0.1%,23.4,1.23,<0.1%,194.8万,214.2万,0.0,528
22,92.3%,52,20.1,1.03,<0.1%,1218421,理想之路,--,--,--,--,--,上映25天,#666666 1.00,<0.1%,10,<0.1%,20.1,1.02,<0.1%,68.8万,68.9万,0.0,512
